               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.032261,            0.013505,            0.011721,             0.62631,             0.52059,             0.61944,             0.25836,             0.01907,           0.0056074,           0.0021706,            0.006535,            0.006535,            0.006535
                  37,            0.032277,            0.013075,            0.010905,             0.67042,             0.58276,             0.69282,             0.29228,            0.018286,           0.0056974,           0.0017598,            0.006436,            0.006436,            0.006436
                  38,            0.030906,             0.01356,            0.010587,             0.68414,             0.56701,             0.67371,             0.29274,            0.018772,           0.0053812,           0.0015742,            0.006337,            0.006337,            0.006337
                  39,            0.032849,            0.013589,            0.011673,             0.72788,             0.50207,             0.63725,             0.26502,            0.019518,           0.0055815,           0.0022948,            0.006238,            0.006238,            0.006238
                  40,            0.031777,            0.013015,            0.010147,             0.57568,             0.60148,             0.63219,             0.28665,            0.020283,           0.0053327,            0.001839,            0.006139,            0.006139,            0.006139
                  41,            0.031731,            0.013399,            0.010744,             0.76021,             0.57014,             0.65821,             0.28519,            0.019712,           0.0052108,           0.0019275,             0.00604,             0.00604,             0.00604
                  42,            0.031849,            0.013313,            0.010682,             0.57956,             0.64131,             0.66373,               0.282,            0.020913,           0.0053669,           0.0020509,            0.005941,            0.005941,            0.005941
                  43,             0.03174,            0.013087,            0.010379,             0.69189,             0.55805,             0.64801,             0.30789,            0.018744,           0.0052527,           0.0015692,            0.005842,            0.005842,            0.005842
                  44,             0.03224,            0.013146,            0.010351,             0.73588,              0.5081,             0.59386,             0.26988,            0.018985,           0.0057313,           0.0011457,            0.005743,            0.005743,            0.005743
                  45,            0.031214,            0.013164,            0.011042,             0.63504,             0.65549,             0.71145,             0.31571,              0.0172,           0.0052032,           0.0015442,            0.005644,            0.005644,            0.005644
                  46,             0.03152,            0.013044,           0.0096266,             0.68548,             0.61023,             0.69533,             0.31283,            0.017339,           0.0052857,           0.0010848,            0.005545,            0.005545,            0.005545
                  47,            0.030106,            0.012826,             0.00867,             0.65496,             0.69049,             0.72474,             0.33545,            0.018884,            0.005088,           0.0012317,            0.005446,            0.005446,            0.005446
                  48,            0.029775,            0.012768,           0.0086353,             0.70837,             0.59029,             0.70718,             0.33221,            0.018283,           0.0051845,           0.0010108,            0.005347,            0.005347,            0.005347
                  49,            0.029911,            0.012796,           0.0093686,             0.50582,             0.58705,             0.62265,              0.2847,            0.020781,           0.0052333,          0.00090771,            0.005248,            0.005248,            0.005248
                  50,            0.028941,            0.012428,           0.0080891,             0.62506,             0.65285,             0.68921,             0.30683,            0.019041,            0.005034,          0.00089965,            0.005149,            0.005149,            0.005149
                  51,            0.029518,            0.012894,           0.0080272,             0.59525,             0.66928,             0.69279,             0.32082,            0.017363,           0.0054495,          0.00081843,             0.00505,             0.00505,             0.00505
                  52,             0.02892,            0.012864,           0.0091567,             0.64113,             0.66768,              0.6928,             0.31076,             0.01832,           0.0051127,           0.0012941,            0.004951,            0.004951,            0.004951
                  53,            0.028567,            0.012795,            0.008331,             0.69676,             0.62064,             0.69065,              0.3247,            0.017585,           0.0050373,          0.00090153,            0.004852,            0.004852,            0.004852
                  54,            0.029023,            0.012365,           0.0081294,             0.58194,              0.6359,             0.67785,             0.33978,            0.018212,           0.0051752,           0.0007482,            0.004753,            0.004753,            0.004753
                  55,             0.02804,            0.012434,           0.0082169,             0.63942,             0.61541,             0.67323,             0.31825,            0.017636,           0.0051215,           0.0010677,            0.004654,            0.004654,            0.004654
